ArRId;ArRVersion;ArRCreated;ArRChanged;ArRName;ArRType;ArRPublicCode;ArRXEpsg2154;ArRYEpsg2154;ZdAId;ArRGeopoint;ArRTown;ArRPostalRegion;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns;ArRFareZone
472101;1392700-47923;2019-03-07T19:33:05+01:00;2022-05-24T15:28:27+02:00;Bécon les Bruyères;rail;C;646371;6867506;47923;48.90531756766978, 2.268403695974121;Courbevoie;92026;unknown;unknown;unknown;3
470604;1384374-1106614;2019-03-07T00:00:00+01:00;2022-04-26T16:54:24+02:00;Ormoy-Villers;rail;3;688184;6900109;411387;49.20059399314563, 2.837890937383541;Ormoy-Villers;60479;unknown;unknown;unknown;
471426;1399292-1533669;2019-03-07T18:37:56+01:00;2022-06-10T15:32:50+02:00;La Plaine Stade de France;rail;1B;653262;6868871;43145;48.91812954081617, 2.362254587760936;Saint-Denis;93066;unknown;unknown;unknown;2
472711;1399291-1533669;2019-03-07T20:35:40+01:00;2022-06-10T15:32:31+02:00;La Plaine Stade de France;rail;2B;653281;6868853;43145;48.91796905706154, 2.362515816535762;Saint-Denis;93066;unknown;unknown;unknown;2
41246;1096524-1119819;2014-12-29T00:00:00+01:00;2020-08-25T17:07:50+02:00;Gare de Plaisir les Clayes;rail;-;623659;6859462;43181;48.83069026880468, 1.9600576282081918;Plaisir;78490;partial;unknown;unknown;
411409;1105839-1088421;2015-01-26T00:00:00+01:00;2020-08-25T17:07:37+02:00;Drancy;rail;-;660081;6870459;43122;48.93287317075213, 2.4551533256025544;Drancy;93029;partial;unknown;unknown;
412829;1107607-1103098;2015-02-18T00:00:00+01:00;2020-08-25T17:02:16+02:00;Antony;rail;-;648611;6850733;43066;48.754659630560816, 2.3009912069392304;Antony;92002;partial;unknown;unknown;
41041;1097203-1097248;2014-12-29T00:00:00+01:00;2020-08-25T16:57:50+02:00;Gare de Provins;rail;-;722350;6828427;47181;48.55568699976346, 3.3028635799456305;Provins;77379;partial;unknown;unknown;
41124;1092737-1098524;2014-12-29T00:00:00+01:00;2020-08-25T16:54:18+02:00;Gare de Mériel;rail;-;641944;6886737;47585;49.077856173034895, 2.2053855560686864;Mériel;95392;partial;unknown;unknown;
41175;1099956-1099980;2014-12-29T00:00:00+01:00;2020-08-25T16:53:15+02:00;Gare de Vaucresson;rail;-;637798;6859971;43216;48.83678718999743, 2.1525716362081124;Vaucresson;92076;partial;unknown;unknown;
470748;1073581-1106605;2019-03-07T18:00:25+01:00;2020-08-25T16:17:02+02:00;Mareil-sur-Mauldre;rail;2;617288;6866476;46884;48.89297575959237, 1.871904339357298;Mareil-sur-Mauldre;78368;partial;unknown;unknown;5
470924;1074248-1347557;2019-03-07T18:08:31+01:00;2020-08-25T16:05:51+02:00;Paris Gare de Lyon;rail;2;654050;6860576;470195;48.84359161399172, 2.373903922314229;Paris 12e;75112;partial;unknown;unknown;1
472553;1080741-1096761;2019-03-07T20:19:04+01:00;2020-08-25T15:51:40+02:00;Le Perray;rail;1B;615848;6844299;43235;48.69335656299882, 1.8566464919869856;Le Perray-en-Yvelines;78486;partial;unknown;unknown;5
