ZdcId;ZdCXEpsg2154;ZdCYEpsg2154;liftReason;liftStatus;liftMode;liftId;LiftPrivateId;liftSituation;liftDirection;liftStateUpdate;LiftState;ZdcName;ZdcCentroid
71370;650511;6864202;;available;LocalTrain;259;LAZ ASC_00001;Niveau Intermédiaire - Quai 1;Olympiades;2024-04-16T16:08:00+02:00;1;Gare Saint-Lazare;48.875937635687144,2.3252630353731822
71370;650511;6864202;;available;LocalTrain;260;LAZ ASC_00002;Niveau Intermédiaire - Quai 2;Terminus;2024-04-16T16:08:00+02:00;1;Gare Saint-Lazare;48.875937635687144,2.3252630353731822
71475;649774;6865531;;available;LocalTrain;992;EQ11-A005-000000255;QX142;;2024-04-16T16:08:00+02:00;1;Pont Cardinet;48.88783183142733,2.3150580477407674
72073;648504;6866490;;available;LocalTrain;33;3006;Souterrain <> Voies A/B;Versailles Rive Droite;2024-04-16T16:10:00+02:00;1;Clichy - Levallois;48.89635538025603,2.2976233799556622
72124;646399;6867525;;available;LocalTrain;683;PMR 3025;Passerelle QUAI D T2/V1;PROVINCE (Versailles);2024-04-16T16:11:00+02:00;1;Bécon les Bruyères;48.9054907560421,2.268783244492471
72177;645590;6868514;;available;LocalTrain;578;3013;Accès souterrain;Paris-Province;2024-04-16T16:11:00+02:00;1;Les Vallées;48.91431633824013,2.2576207922918363
63426;622345;6851106;;available;LocalTrain;1099;393256 - ASC.PMR 4608;Bâtiment Voyageurs;Paris / Province;2024-04-15T22:11:00+02:00;1;La Verrière;48.75538842871317,1.9436715947128136
63812;629884;6854562;;available;LocalTrain;1113;393843 - ASC.PMR 4617;Quai 2;;2024-04-16T16:09:00+02:00;1;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;48.78733205816793,2.045644714119561
63880;636433;6855431;;available;LocalTrain;185;4055;Hall <> Quais D - E;Grandes Lignes / Paris Montparnasse;2024-04-16T16:09:00+02:00;1;Versailles Chantiers;48.795825758137916,2.1346466295780013
63880;636433;6855431;;available;LocalTrain;186;4056;Hall <> Quais F - G;Grandes Lignes / Dreux / Mantes la Jolie / Montfort l'Amaury;2024-04-16T16:09:00+02:00;1;Versailles Chantiers;48.795825758137916,2.1346466295780013
63880;636433;6855431;;available;LocalTrain;187;4057;Hall <> Quais H - J;Massy TGV;2024-04-16T16:09:00+02:00;1;Versailles Chantiers;48.795825758137916,2.1346466295780013
63880;636433;6855431;;available;LocalTrain;538;4072;Passerelle 2 /Voies D-E;Grandes Lignes / Paris Montparnasse;2024-04-16T16:11:00+02:00;1;Versailles Chantiers;48.795825758137916,2.1346466295780013
69503;640360;6857213;;available;LocalTrain;430;3063;Voie 2;PARIS;2024-04-16T16:10:00+02:00;1;Chaville Rive Droite;48.81222665072109,2.1878524648783295
